dataid,number_floors,house_num_rooms,house_square_feet,sex_males,sex_females,num_people
43,1,8,1500,1,1,2
1629,1,10,2335,1,3,4
2053,1,5,1050,0,1,1
4517,1,8,1600,1,0,1
1600,1,8,1575,1,1,2
2836,2,5,3400,1,1,2
2242,2,4,3500,1,1,2
3394,1,8,2800,1,1,2
5371,1,6,980,1,1,2
2557,2,16,3300,1,1,2
2257,2,8,4100,2,1,3
5490,1,9,1850,1,2,3
7866,1,4,1100,2,1,3
5288,2,7,3200,2,1,3
5511,1,6,1140,1,0,1
1572,1,8,2100,1,1,2
2297,1,4,1500,1,4,5
9605,1,11,2200,1,1,2
8223,1,9,2300,2,0,2
2929,1,3,1552,1,1,2
5746,1,9,1768,2,2,4
6787,1,5,1600,1,1,2
4342,1,8,1316,1,2,3
4594,2,7,2506,1,1,2
1741,1,6,1993,2,1,3
7332,2,9,2850,0,1,1
5673,1,6,1900,3,2,5
4231,2,14,4200,1,1,2
9264,2,9,2450,1,2,3
9264,2,8,2430,1,2,3
2198,1,9,1936,0,1,1
4957,2,13,3300,2,3,5
2900,2,16,3750,1,1,2
410,1,8,1299,1,1,2
3085,1,7,1300,0,2,2
1953,1,8,1600,1,1,2
1069,1,4,230,1,,1
2322,1,14,3800,1,1,2
9195,1,2,816,1,1,2
9195,1,2,900,1,1,2
8139,2,6,1650,1,1,2
7103,2,13,3005,2,2,4
2953,1,5,1500,1,1,2
936,1,8,1400,3,1,4
1608,3,7,2600,1,2,3
5227,2,15,2600,0,1,1
821,1,7,1800,1,1,2
821,1,8,1700,1,1,2
9090,2,12,5500,2,3,5
7793,2,8,2687,2,1,3
245,1,10,1599,1,1,2
6524,1,3,968,3,1,4
6524,1,2,940,3,1,4
9233,1,2,935,2,1,3
624,2,7,2100,2,2,4
4298,1,6,953,1,1,2
7797,1,13,2600,1,1,2
6927,1,6,1932,1,0,1
6927,1,6,2000,1,0,1
2690,2,6,3470,2,2,4
3368,1,7,1441,1,1,2
125,2,8,3077,1,1,2
1146,1,6,1471,1,,1
8544,1,4,1820,1,1,2
9454,1,8,1000,0,1,1
7731,2,8,2120,1,2,3
545,2,12,2445,1,1,2
26,1,6,2047,2,2,4
1642,1,11,1720,1,2,3
7850,2,6,2200,5,0,5
4956,2,10,4000,2,2,4
7016,2,10,2600,3,1,4
661,1,6,1664,1,1,2
9773,2,4,2350,1,3,4
3367,2,4,2800,2,2,4
7741,2,12,1840,1,1,2
9377,1,10,2400,2,0,2
1042,2,5,2000,2,1,3
7024,2,2,1560,1,1,2
3506,2,7,1931,1,1,2
1800,1,9,2075,1,0,1
2792,2,8,2500,1,1,2
4421,2,4,1100,0,1,1
9869,1,6,1980,2,1,3
1556,2,6,1699,1,1,2
252,2,4,2700,1,3,4
121,2,10,1900,1,3,4
4304,2,11,3350,1,1,2
1790,2,5,3000,3,1,4
5555,2,6,2400,1,1,2
5439,2,8,1700,1,0,1
6830,1,3,2100,3,1,4
9432,1,7,1850,1,1,2
1415,1,3,1720,1,2,3
9052,2,12,2400,2,2,4
7057,1,7,1740,2,0,2
9543,2,7,1540,4,0,4
3723,2,3,1551,1,1,2
3263,1,3,1015,2,1,3
4874,2,7,2100,1,1,2
7447,2,15,3250,1,1,2
9555,1,11,2500,3,2,5
8317,2,9,1576,1,1,2
2345,2,8,1700,1,1,2
2946,3,3,2150,1,1,2
8956,2,7,1200,0,1,1
304,1,12,3200,3,1,4
4591,2,5,1450,0,1,1
370,1,8,2682,1,1,2
9036,2,2,1800,0,2,2
1283,1,10,2500,3,2,5
2365,2,13,2500,2,2,4
7429,1,9,2500,1,1,2
2116,1,8,2100,1,2,3
2925,1,3,2330,2,2,4
2995,2,6,1600,2,0,2
8018,2,12,2100,2,3,5
3922,1,8,3100,1,1,2
5312,2,7,1300,2,2,4
3829,1,4,2300,1,1,2
9971,2,4,3100,1,1,2
9751,2,14,2970,1,1,2
50,2,9,2900,2,1,3
7510,2,10,3850,1,2,3
5262,2,10,3100,2,1,3
4162,2,12,3000,2,1,3
8833,1,9,2500,2,0,2
4670,2,4,3048,2,2,4
2369,1,9,2210,2,1,3
1700,2,15,3100,2,2,4
1035,1,11,1780,1,1,2
4162,2,12,4000,1,3,4
6072,1,8,1700,1,1,2
2744,1,7,930,1,0,1
9462,2,14,3760,1,1,2
1796,1,5,850,1,3,4
6246,2,12,2200,1,1,2
2401,1,3,1079,0,1,1
9639,1,6,2000,1,1,2
8731,1,9,2100,1,1,2
3652,1,9,2700,2,2,4
1500,1,3,713,1,1,2
3273,1,4,1002,1,0,1
9912,1,2,713,0,1,1
4000,1,3,740,1,0,1
3299,1,5,975,1,0,1
1310,1,2,752,0,1,1
7549,1,4,719,0,1,1
645,1,3,700,0,1,1
3443,1,4,650,1,0,1
8031,1,5,1058,1,2,3
7090,1,4,2600,1,4,5
3301,2,11,2310,2,0,2
6266,2,4,2300,2,0,2
3578,1,8,1400,1,1,2
1169,1,6,1430,1,1,2
2814,2,7,1860,1,1,2
3036,3,5,2300,1,2,3
3036,3,5,2260,1,2,3
6685,2,4,1500,1,1,2
4297,1,8,1439,0,2,2
7597,2,3,1803,1,1,2
2378,1,7,1600,1,1,2
3577,2,9,2100,0,1,1
364,2,10,2200,1,1,2
4732,1,6,1500,1,1,2
2156,1,7,1780,1,1,2
4767,2,10,2500,1,1,2
3736,1,6,1800,1,1,2
3736,1,5,1800,1,1,2
9176,2,10,2681,2,1,3
2470,2,3,1550,1,0,1
7390,1,3,2100,1,1,2
4314,2,8,2556,1,1,2
2129,1,7,2042,1,1,2
3224,2,10,2000,0,1,1
4998,2,4,2600,1,1,2
9729,2,11,2222,3,1,4
1697,2,8,2085,1,3,4
4894,2,10,1980,2,1,3
7982,1,3,1720,1,1,2
6103,2,3,1147,0,1,1
6498,2,3,2600,1,1,2
5785,2,11,1900,1,1,2
4031,2,10,2050,1,2,3
4031,2,8,2300,2,1,3
1463,2,9,2100,0,1,1
9956,1,4,1417,0,1,1
6057,1,4,2300,3,1,4
8236,2,3,1950,2,2,4
5817,1,10,1908,3,1,4
6836,1,5,1215,0,1,1
4228,2,7,1200,2,1,3
9134,2,4,2200,1,2,3
9982,1,4,1400,3,0,3
4213,2,3,1600,1,2,3
825,2,11,2800,2,1,3
5610,1,10,2000,1,1,2
2986,2,6,2310,1,1,2
6418,1,9,2300,1,1,2
3741,2,14,3408,0,2,2
6910,2,12,2698,2,2,4
2233,2,4,3300,2,2,4
5839,2,7,1700,1,2,3
946,2,9,2025,0,1,1
3009,1,5,1200,0,1,1
7800,1,10,2000,1,1,2
4505,2,3,1580,1,1,2
3805,2,3,2000,1,2,3
7641,2,7,2200,2,2,4
6692,1,8,2500,1,1,2
3482,2,9,1840,1,0,1
5209,2,4,1670,2,1,3
3893,2,10,2900,1,1,2
222,1,4,2200,4,1,5
8424,2,4,2500,2,0,2
8626,2,12,3500,1,1,2
3967,1,10,2500,1,1,2
6692,1,7,2500,1,1,2
8047,2,4,3250,3,1,4
7113,1,9,2200,1,2,3
2859,1,8,1200,0,2,2
3456,1,10,1720,1,1,2
2692,2,10,2200,1,1,2
8243,2,7,2214,1,1,2
6121,2,3,2200,2,2,4
871,1,8,1652,1,3,4
101,2,5,1300,2,1,3
9933,1,8,1474,3,2,5
59,2,11,3600,2,5,7
59,2,11,3600,1,1,2
7037,2,15,3622,1,2,3
4576,2,5,2900,2,1,3
5677,1,6,997,0,1,1
94,1,3,1713,1,1,2
4922,2,8,2200,1,1,2
8142,3,15,3300,1,1,2
5449,1,4,3300,2,2,4
8838,1,7,1700,2,2,4
8071,1,10,4200,1,1,2
5850,1,9,1932,1,0,1
9609,1,5,1080,0,1,1
9499,1,3,1100,0,1,1
2314,1,8,1300,1,0,1
2314,1,10,1325,1,0,1
3555,1,9,1500,2,1,3
4946,2,8,2400,1,3,4
498,2,12,2050,2,1,3
5026,2,7,1480,1,1,2
7077,1,11,3500,2,2,4
3778,1,5,1262,1,1,2
5814,1,6,1060,1,1,2
5109,2,8,4000,1,2,3
9578,1,5,825,0,1,1
9776,2,9,4500,2,2,4
7319,2,9,2900,1,1,2
1604,2,9,3400,1,1,2
8124,1,7,3150,3,2,5
6636,1,7,2000,0,1,1
1011,2,10,3444,2,1,3
4055,1,10,2200,0,2,2
3921,1,3,1500,1,1,2
9143,1,7,1600,1,1,2
9699,1,5,1000,0,1,1
3098,2,8,3200,1,1,2
1334,1,5,1100,1,1,2
5218,1,10,2050,1,0,1
9484,2,8,3150,1,1,2
2485,1,7,2500,0,1,1
8115,1,3,1850,1,1,2
5357,1,7,3200,2,3,5
2969,2,10,4000,2,3,5
6407,1,5,3300,2,2,4
9932,2,8,2350,1,1,2
4158,1,3,1566,4,1,5
5448,1,10,2100,1,1,2
6139,1,9,2800,3,2,5
2296,2,9,3100,2,1,3
754,1,9,1674,1,1,2
9080,3,12,2800,1,3,4
5909,1,1,670,1,0,1
9775,1,7,2300,0,1,1
5938,3,3,1476,1,0,1
7062,3,4,1400,1,1,2
8061,3,3,1600,2,0,2
9983,2,12,3000,1,1,2
2606,3,4,1390,1,1,2
8574,1,3,1400,2,1,3
1731,3,4,1555,1,1,2
8342,3,3,1401,0,3,3
2412,4,6,1800,1,3,4
3610,2,10,2600,1,1,2
9934,1,8,2500,1,1,2
469,2,13,2713,1,1,2
7149,2,9,3154,3,1,4
3649,2,7,2450,2,3,5
7645,1,6,1800,2,2,4
9526,1,13,2700,2,3,5
9922,1,5,2300,1,1,2
9215,2,7,2000,1,1,2
4056,2,12,2500,3,1,4
7769,1,6,960,2,1,3
9647,2,12,3100,2,2,4
