,dataid,year_house_constructed,house_num_rooms,house_square_feet,house_ceiling_height,sex_males,sex_females,residents_under_5,residents_6_to_12,residents_13_to_18,residents_19_to_24,residents_25_to_34,residents_35_to_49,residents_50_to_64,residents_older_65,education_level,total_annual_income,ceiling_fans_count
158,3443,2012,4.0,650.0,"9 0""",1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Some college/trade/vocational school,$20-000 - $34-999,2.0
159,8031,1949,5.0,1058.0,8,1,2,1.0,,,,1.0,1.0,,,Postgraduate degree,$100-000 - $149-999,4.0
160,7090,1977,4.0,2600.0,9,1,4,2.0,,,0.0,,2.0,,,Postgraduate degree,$75-000 - $99-999,6.0
161,3301,2008,11.0,2310.0,10,2,None,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Postgraduate degree,$100-000 - $149-999,6.0
162,6266,2008,4.0,2300.0,10,2,None,,,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,6.0
163,3578,1989,8.0,1400.0,12,1,1,,,,,,,,,,,3.0
164,1169,2008,6.0,1430.0,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Postgraduate degree,$50-000 - $74-999,2.0
165,2814,2009,7.0,1860.0,10 ft.- living room vaulted to 2nd floor,1,1,,,,,,,2.0,,College graduate,$100-000 - $149-999,4.0
166,3036,2011,5.0,2300.0,10,1,2,1.0,,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,2.0
167,3036,2011,5.0,2260.0,10,1,2,1.0,,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,2.0
168,6685,2011,4.0,1500.0,10ft downstairs / 9 ft upstairs,1,1,,,,,1.0,1.0,,,Some college/trade/vocational school,$100-000 - $149-999,4.0
169,4297,2009,8.0,1439.0,10,None,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,Postgraduate degree,$75-000 - $99-999,5.0
170,7597,2008,3.0,1803.0,21,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Postgraduate degree,$150-000 - $299-000,5.0
171,2378,1947,7.0,1600.0,8,1,1,,,,,2.0,,,,College graduate,$75-000 - $99-999,3.0
172,3577,2008,9.0,2100.0,,None,1,,,,,,,1.0,,College graduate,$100-000 - $149-999,5.0
173,364,2008,10.0,2200.0,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,College graduate,$150-000 - $299-000,5.0
174,6063,2008,6.0,1840.0,10,,,,,,,,1.0,,,,,4.0
175,4732,2009,6.0,1500.0,10,1,1,,1.0,,,,1.0,,,Postgraduate degree,$75-000 - $99-999,4.0
176,2156,1985,7.0,1780.0,7.5,1,1,,,,,,,,,Postgraduate degree,$150-000 - $299-000,5.0
177,4767,2008,10.0,2500.0,10,1,1,,,,,,,2.0,,Postgraduate degree,$150-000 - $299-000,6.0
178,3736,1968,6.0,1800.0,8,1,1,,,,,,,,2.0,Postgraduate degree,$75-000 - $99-999,2.0
179,3736,1969,5.0,1800.0,8,1,1,,,,,,,,2.0,Postgraduate degree,$75-000 - $99-999,3.0
180,9176,1973,10.0,2681.0,8,2,1,1.0,,,,2.0,,,,College graduate,,4.0
181,2470,2009,3.0,1550.0,10,1,,,,,,0.0,1.0,,,College graduate,$50-000 - $74-999,4.0
182,7390,1967,3.0,2100.0,8,1,1,,,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
183,4314,1972,8.0,2556.0,8,1,1,,,,,,,,2.0,College graduate,$75-000 - $99-999,3.0
184,2129,2008,7.0,2042.0,12-Oct,1,1,,,,,,,1.0,,College graduate,$100-000 - $149-999,6.0
185,3224,2008,10.0,2000.0,9,,1,,,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
186,4998,2009,4.0,2600.0,12,1,1,,,,,,,2.0,,Postgraduate degree,$150-000 - $299-000,6.0
187,9729,2007,11.0,2222.0,9,3,1,1.0,1.0,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,3.0
188,1114,2008,5.0,2200.0,10,,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,College graduate,$150-000 - $299-000,5.0
189,1697,2010,8.0,2085.0,10,1,3,2.0,,,,,1.0,1.0,,College graduate,$300-000 - $1-000-000,5.0
190,4894,2010,10.0,1980.0,10,2,1,1.0,,,,2.0,,,,Postgraduate degree,$50-000 - $74-999,5.0
191,7982,2008,3.0,1720.0,9,1,1,,,,,1.0,2.0,,,Postgraduate degree,more than $1-000-000,5.0
192,7982,,,,,,,,,,,,,,,,,
193,6103,2008,3.0,1147.0,10,,1,,,,,,,1.0,,College graduate,$35-000 - $49-999,2.0
194,6498,1930 or earlier,3.0,2600.0,9,1,1,,,,,,2.0,,,College graduate,$100-000 - $149-999,6.0
195,5785,2008,11.0,1900.0,10,1,1,,,,,,,,2.0,Postgraduate degree,$75-000 - $99-999,4.0
196,4031,2008,10.0,2050.0,10,1,2,,1.0,,,,2.0,,,Postgraduate degree,$75-000 - $99-999,5.0
197,4031,2008,8.0,2300.0,10,2,1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,Postgraduate degree,$150-000 - $299-000,6.0
198,1463,2008,9.0,2100.0,9,None,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,College graduate,$100-000 - $149-999,4.0
199,9956,2008,4.0,1417.0,10,,1,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,College graduate,$35-000 - $49-999,5.0
200,6057,1985,4.0,2300.0,8,3,1,0.0,0.0,1.0,1.0,0.0,0.0,2.0,,Postgraduate degree,$100-000 - $149-999,6.0
201,8236,2009,3.0,1950.0,10,2,2,1.0,1.0,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,3.0
202,5817,2008,10.0,1908.0,10,3,1,1.0,1.0,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
203,6836,2008,5.0,1215.0,10,None,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,College graduate,$35-000 - $49-999,4.0
204,4228,2008,7.0,1200.0,10,2,1,,1.0,1.0,,,,1.0,,College graduate,$50-000 - $74-999,2.0
205,9134,2008,4.0,2200.0,10 ft,1,2,1.0,,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
206,9982,2008,4.0,1400.0,10 ft,3,None,1.0,1.0,,,,2.0,,,Postgraduate degree,$50-000 - $74-999,3.0
207,4213,2012,3.0,1600.0,10,1,2,1.0,,,,1.0,1.0,,,Postgraduate degree,$100-000 - $149-999,2.0
208,825,1980,11.0,2800.0,8,2,1,,,1.0,,,,2.0,,Postgraduate degree,$300-000 - $1-000-000,6.0
209,5610,1978,10.0,2000.0,10,1,1,,,,,1.0,,1.0,,College graduate,$50-000 - $74-999,5.0
210,2986,2008,6.0,2310.0,Between 9 and 11 feet,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Postgraduate degree,,6.0
211,6418,1967,9.0,2300.0,96,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Postgraduate degree,$150-000 - $299-000,3.0
212,3741,2004,14.0,3408.0,First floor 10 foot; second floor 8 foot,2,3,0.0,0.0,2.0,,,1.0,,2.0,Postgraduate degree,$100-000 - $149-999,6.0
213,6910,1967,12.0,2698.0,9 feet,2,2,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,Postgraduate degree,$150-000 - $299-000,5.0
214,2233,2008,4.0,3300.0,12 Ft,2,2,1.0,1.0,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,6.0
215,5839,2009,7.0,1700.0,10,1,2,1.0,,,,,2.0,,,College graduate,$150-000 - $299-000,4.0
216,946,2009,9.0,2025.0,9,None,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Postgraduate degree,$75-000 - $99-999,3.0
217,3009,2008,5.0,1200.0,10,None,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,College graduate,$35-000 - $49-999,4.0
218,7800,2008,10.0,2000.0,11,1,1,,,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,5.0
219,4505,2009,3.0,1580.0,10,1,1,,,,,1.0,1.0,,,Postgraduate degree,$150-000 - $299-000,3.0
220,3805,2008,3.0,2000.0,9,1,2,2.0,,,,1.0,1.0,,,Postgraduate degree,$300-000 - $1-000-000,4.0
221,7641,2008,7.0,2200.0,11 ft,2,2,2.0,,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,5.0
222,6692,2009,8.0,2500.0,High in certain rooms- dont know the answer,1,1,,,,,,,1.0,1.0,Postgraduate degree,$100-000 - $149-999,4.0
223,3482,2009,9.0,1840.0,10,1,None,,,,,,1.0,,,Postgraduate degree,$75-000 - $99-999,3.0
224,5209,2012,4.0,1670.0,10 ft,2,1,1.0,,,,2.0,,,,Postgraduate degree,$75-000 - $99-999,2.0
225,3893,1966,9.0,2700.0,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Postgraduate degree,$150-000 - $299-000,5.0
226,3893,1966,10.0,2900.0,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Postgraduate degree,,5.0
227,222,1969,4.0,2200.0,8,4,1,1.0,2.0,,,,2.0,,,Postgraduate degree,$300-000 - $1-000-000,3.0
228,8424,1970,4.0,2500.0,8,2,None,,,,,,1.0,1.0,,College graduate,$150-000 - $299-000,6.0
229,8626,2011,12.0,3500.0,9.5,1,1,,,,,1.0,1.0,,,Postgraduate degree,$150-000 - $299-000,6.0
230,3967,2008,10.0,2500.0,12,1,1,,,,,,,,2.0,College graduate,$50-000 - $74-999,6.0
231,6692,2006,7.0,2500.0,10+ in certain areas,1,1,,,,,,,1.0,1.0,Postgraduate degree,$100-000 - $149-999,5.0
232,8047,2009,4.0,3250.0,10,3,1,,3.0,,,,2.0,,,College graduate,,5.0
233,7113,2009,9.0,2200.0,10-17,1,2,,,,1.0,,1.0,1.0,,College graduate,$150-000 - $299-000,3.0
234,2859,2008,8.0,1200.0,11,None,2,,,,1.0,,,0.0,,College graduate,$50-000 - $74-999,4.0
235,3456,2008,10.0,1720.0,9 ft,1,1,,,,,,,1.0,1.0,Postgraduate degree,$100-000 - $149-999,6.0
236,2692,2013,10.0,2200.0,12,1,1,0.0,0.0,0.0,0.0,2.0,,,,Postgraduate degree,$100-000 - $149-999,4.0
237,8243,2013,7.0,2214.0,9 or 10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,College graduate,$100-000 - $149-999,5.0
238,6121,2010,3.0,2200.0,120,2,2,2.0,,,,1.0,1.0,,,Postgraduate degree,$100-000 - $149-999,6.0
239,871,,8.0,1652.0,8,1,3,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,Postgraduate degree,$75-000 - $99-999,4.0
240,101,2013,5.0,1300.0,10,2,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Postgraduate degree,$35-000 - $49-999,4.0
241,9933,1954,8.0,1474.0,8,3,2,1.0,2.0,,,,2.0,,,Postgraduate degree,,6.0
242,59,2012,11.0,3600.0,10,2,5 or more,,1.0,3.0,,,,1.0,2.0,Postgraduate degree,$300-000 - $1-000-000,6.0
243,59,2012,11.0,3600.0,10 feet downstairs- 9 feet upstairs,1,1,,,,,,,,2.0,Postgraduate degree,$150-000 - $299-000,6.0
244,7037,1997,15.0,3622.0,10,1,2,,,,,,,2.0,1.0,Postgraduate degree,$150-000 - $299-000,6.0
245,4576,2012,5.0,2900.0,9,2,1,1.0,,,,1.0,1.0,,,College graduate,$75-000 - $99-999,4.0
246,5677,1948,6.0,997.0,8,None,1,,,,,,,0.0,,Postgraduate degree,$50-000 - $74-999,4.0
247,94,1975,3.0,1713.0,8,1,1,,,,,2.0,,,,College graduate,$100-000 - $149-999,1.0
248,4922,1985,8.0,2200.0,8 6,1,1,,,,,,,2.0,,Postgraduate degree,$150-000 - $299-000,5.0
249,8142,1993,15.0,3300.0,9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Postgraduate degree,,3.0
250,5449,1967,4.0,3300.0,8,2,2,2.0,,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,4.0
251,8838,1984,7.0,1700.0,10,2,2,,2.0,,,,2.0,,,Postgraduate degree,,5.0
252,8071,2006,10.0,4200.0,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Postgraduate degree,,5.0
253,5850,1975,9.0,1932.0,8,1,None,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,College graduate,$75-000 - $99-999,4.0
254,9609,1955,5.0,1080.0,8,,1,,,,,,,,1.0,Some college/trade/vocational school,$50-000 - $74-999,
255,9499,1965,3.0,1100.0,8,None,1,,,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
256,2314,1930 or earlier,8.0,1300.0,8,1,None,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,College graduate,,2.0
257,2314,1930 or earlier,10.0,1325.0,8,1,None,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,College graduate,$50-000 - $74-999,2.0
258,3555,2011,9.0,1500.0,12,2,1,1.0,,,,2.0,,,,College graduate,$50-000 - $74-999,1.0
259,4946,2008,8.0,2400.0,8,1,3,,1.0,1.0,,,2.0,,,Postgraduate degree,$150-000 - $299-000,4.0
260,498,1951,12.0,2050.0,8,2,1,,,,,,1.0,,2.0,College graduate,$150-000 - $299-000,6.0
261,5026,2006,7.0,1480.0,I dont know,1,1,,,,,,2.0,,,College graduate,$100-000 - $149-999,4.0
262,7077,2012,11.0,3500.0,12,2,2,,,2.0,,,,2.0,,Postgraduate degree,,5.0
263,3778,1971,5.0,1262.0,8,1,1,,,,,,,2.0,,Postgraduate degree,$75-000 - $99-999,4.0
264,5814,1952,6.0,1060.0,8,1,1,,,,,2.0,,,,Postgraduate degree,$75-000 - $99-999,5.0
265,5109,1979,8.0,4000.0,84,1,2,1.0,,,,,1.0,1.0,,Postgraduate degree,$150-000 - $299-000,6.0
266,9578,1972,5.0,825.0,8,None,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,College graduate,$50-000 - $74-999,3.0
267,9776,1990,9.0,4500.0,12,2,2,,,2.0,,,,2.0,,Postgraduate degree,$75-000 - $99-999,5.0
268,7319,1990,9.0,2900.0,10-Sep,1,1,,,,,,,0.0,,Postgraduate degree,$100-000 - $149-999,6.0
269,1604,2003,9.0,3400.0,9,1,1,,,,,,2.0,,,College graduate,$150-000 - $299-000,3.0
270,8124,1955,7.0,3150.0,8,3,2,0.0,3.0,,,,2.0,,,Postgraduate degree,$300-000 - $1-000-000,3.0
271,6636,1953,7.0,2000.0,8,None,1,,,,,,1.0,,,College graduate,$75-000 - $99-999,4.0
272,1011,1986,10.0,3444.0,,2,1,,,,1.0,,,1.0,1.0,College graduate,,6.0
273,4055,1994,10.0,2200.0,12,,2,,,,,,,1.0,1.0,College graduate,$100-000 - $149-999,3.0
274,3921,1984,3.0,1500.0,20,1,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,College graduate,$100-000 - $149-999,4.0
275,9143,1954,7.0,1600.0,8,1,1,,,,,,2.0,,,Postgraduate degree,,2.0
276,9699,1957,5.0,1000.0,8,None,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Postgraduate degree,$35-000 - $49-999,2.0
277,3098,1930 or earlier,8.0,3200.0,10,1,1,,,,,,1.0,1.0,,Postgraduate degree,$150-000 - $299-000,3.0
278,1334,1956,5.0,1100.0,8,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,College graduate,,5.0
279,5218,1985,10.0,2050.0,9,1,,,,,,,,1.0,,College graduate,$150-000 - $299-000,5.0
280,9484,1984,8.0,3150.0,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Postgraduate degree,$300-000 - $1-000-000,5.0
281,2485,1984,7.0,2500.0,8,,1,,,,,,,,2.0,Postgraduate degree,$100-000 - $149-999,5.0
282,8115,2000,3.0,1850.0,10,1,1,,,,,,,2.0,,Some college/trade/vocational school,$75-000 - $99-999,6.0
283,5357,2012,7.0,3200.0,14-Oct,2,3,,,,,2.0,,1.0,2.0,Postgraduate degree,$300-000 - $1-000-000,5.0
284,2969,1976,10.0,4000.0,96,2,3,,1.0,1.0,1.0,,2.0,,,College graduate,$100-000 - $149-999,6.0
285,6407,1967,5.0,3300.0,8,2,2,,2.0,,,,2.0,,,Postgraduate degree,$300-000 - $1-000-000,2.0
286,9932,1998,8.0,2350.0,Different hights in different rooms,1,1,,,,,,,,2.0,Postgraduate degree,$50-000 - $74-999,6.0
287,4158,1978,3.0,1566.0,12 in lr- 8 everywhere else,4,1,0.0,2.0,1.0,,0.0,2.0,0.0,0.0,Some college/trade/vocational school,$50-000 - $74-999,6.0
288,5448,1971,10.0,2100.0,8,1,1,,,,,,,,2.0,Postgraduate degree,$75-000 - $99-999,3.0
289,6139,1969,9.0,2800.0,9,3,2,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Postgraduate degree,$150-000 - $299-000,6.0
290,2296,2000,9.0,3100.0,8,2,1,,,,,1.0,,2.0,,Postgraduate degree,$50-000 - $74-999,5.0
291,754,1991,9.0,1674.0,8,1,1,,,,,,,,2.0,College graduate,$50-000 - $74-999,3.0
292,9080,,12.0,2800.0,9,1,3,,,,2.0,,,2.0,,College graduate,$50-000 - $74-999,6.0
293,9080,2006,12.0,2800.0,8,1,3,,,,2.0,,,2.0,,College graduate,$50-000 - $74-999,6.0
294,5909,2012,1.0,670.0,,1,,,,,,,1.0,,,Postgraduate degree,$100-000 - $149-999,
295,9775,2012,7.0,2300.0,9,None,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,College graduate,$75-000 - $99-999,2.0
296,5938,2013,3.0,1476.0,8 to 16,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Postgraduate degree,$100-000 - $149-999,1.0
297,7062,2013,4.0,1400.0,10,1,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,College graduate,$150-000 - $299-000,2.0
298,8061,2012,3.0,1600.0,12ft,2,None,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,College graduate,$100-000 - $149-999,
299,9983,1967,12.0,3000.0,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Postgraduate degree,$100-000 - $149-999,6.0
300,2606,2012,4.0,1390.0,9 ft,1,1,,,,,,2.0,,,College graduate,$100-000 - $149-999,
301,8574,2012,3.0,1400.0,9,2,1,1.0,,,,2.0,,,,College graduate,$100-000 - $149-999,
302,1731,2012,4.0,1555.0,16,1,1,0.0,0.0,,0.0,1.0,,1.0,,College graduate,$75-000 - $99-999,
303,8342,2013,3.0,1401.0,,None,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,College graduate,$75-000 - $99-999,
304,8342,2013,3.0,140.0,,None,3,,,,,1.0,2.0,,,College graduate,$75-000 - $99-999,
305,2412,2012,6.0,1800.0,25,1,3,,,2.0,,1.0,1.0,,,College graduate,$150-000 - $299-000,
306,3610,2002,10.0,2600.0,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Some college/trade/vocational school,$100-000 - $149-999,4.0
307,9934,1970,8.0,2500.0,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Postgraduate degree,$100-000 - $149-999,1.0
308,469,1995,13.0,2713.0,9,1,1,,,,,2.0,,,,Postgraduate degree,$150-000 - $299-000,6.0
309,6308,1963,7.0,1200.0,7.5,None,None,,,,,,,1.0,,College graduate,$20-000 - $34-999,2.0
310,7149,1979,9.0,3154.0,8 ft typical- 22 ft great room,3,1,,,1.0,,1.0,,2.0,,College graduate,$100-000 - $149-999,6.0
311,3649,1973,7.0,2450.0,8,2,3,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,Postgraduate degree,$150-000 - $299-000,6.0
312,7645,1989,6.0,1800.0,10,2,2,,1.0,1.0,,,2.0,,,Postgraduate degree,$100-000 - $149-999,6.0
313,9526,1999,13.0,2700.0,14,2,3,1.0,,2.0,,,2.0,,,College graduate,$150-000 - $299-000,6.0
314,9922,2006,5.0,2300.0,138,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Postgraduate degree,more than $1-000-000,6.0
315,9215,1971,7.0,2000.0,8ft,1,1,,,,,,2.0,,,College graduate,$100-000 - $149-999,4.0
316,4056,2001,12.0,2500.0,10,3,1,,,2.0,,,2.0,,,Postgraduate degree,$100-000 - $149-999,6.0
317,7769,1953,6.0,960.0,"8-0""",2,1,1.0,,,,,2.0,,,Postgraduate degree,$75-000 - $99-999,4.0
318,9647,2001,12.0,3100.0,9,2,2,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,Postgraduate degree,$150-000 - $299-000,6.0
